Comunidad Autónoma,Asociación,Email,Teléfono,Dirección,Servicios,Envios,Respuestas
Extremadura,A.N.D.A.H. Cáceres,contacto@andah.es,+34615974879,"C/ Arsenio Gallego Hernández 6, Cáceres","Apoyo infantil/adulto, asesoramiento familiar",30/07/2025,
Madrid,AAACM Madrid,info@aaacm.org,+34910222334,Madrid,"Asociación Altas Capacidades Madrid, formación y apoyo familiar",31/07/2025,
Aragón,AATEDA,aatedaz@gmail.com,+34976522293,"C/ Poeta Blas de Otero 2, Zaragoza","Diagnóstico, talleres, grupos de apoyo",30/07/2025,
Castilla y León,ABUDAH Burgos,asociacionabudah@gmail.com,+34650767693,"Paseo Comendadores s/n, Burgos",Talleres y apoyo familiar,30/07/2025,
Castilla y León,ABUPHI Ávila,abuphi@hotmail.com,+34692554477,"Av. Juan Carlos I 45, Ávila",Apoyo familiar y escolar,30/07/2025,
La Rioja,ACAC La Rioja,info@acaclarioja.org,+34941222334,Logroño,Asociación de altas capacidades La Rioja,31/07/2025,
Cantabria,ACAL Cantabria,contacto@acalcantabria.org,+34942222334,Santander,"Asociación de altas capacidades Cantabria, talleres educativos",31/07/2025,
Cantabria,ACANDIS Cantabria,dislexiacantabria@hotmail.com,+34695354511,Santander,Apoyo DEA: Dislexia y Discalculia,31/07/2025,
Cantabria,ACANPADAH,acanpadah@hotmail.com,+34647874045,"Avda. Los Castros 141, Santander","Grupos de familias, apoyo escolar",30/07/2025,
Islas Baleares,ACCAB Baleares,contacto@accab.org,+34971222334,Palma de Mallorca,"Asociación de altas capacidades Baleares, actividades extracurriculares",31/07/2025,
Cataluña,ACD Catalunya,contacta@acd.cat,+34932030346,Barcelona,"Atención a Discalculia, formación a docentes",31/07/2025,
Andalucía,ACODAH Córdoba,acodah@gmail.com,+34625263515,"Av. La Alameda 1, Puente Genil, Córdoba","Apoyo a familias, talleres",30/07/2025,
Islas Canarias,ACTE Canarias,info@actecanarias.org,+34928333222,Las Palmas,"Apoyo a superdotación y altas capacidades, orientación escolar",31/07/2025,
Castilla-La Mancha,ACUAPRENDE Cuenca,acuaprende15@gmail.com,+34655443322,Cuenca,Apoyo escolar y recursos educativos,31/07/2025,
Murcia,ADAAC Murcia,contacto@adaacmurcia.org,+34968222334,Murcia,"Apoyo a altas capacidades, orientación escolar",31/07/2025,
País Vasco,ADAHIgi Guipúzcoa,adahigi@adahigi.org,+34943459594,"Katalina Eleizegi 40, Donostia","Intervención psicológica, talleres, bolsa de empleo",30/07/2025,ESTAN DE VACACIONES  HASTA 24 AGOSTO
Galicia,ADAHPO Pontevedra,adahpo@hotmail.es,886204436,"C/ Rosalía de Castro 36, Pontevedra","Apoyo global, formación, defensa de derechos",30/07/2025,
Asturias,ADANSI,info@adansi.es,+34984564827,"C/ Senda del Convento 4, Oviedo","Asociación de familias y personas con autismo, terapias, orientación",31/07/2025,
Navarra,ADHI Navarra,info@adhinavarra.org,+34948252963,"C/ Erletokieta 1, Pamplona","Apoyo infantil/adolescente, grupos, escuela de familias",30/07/2025,
Extremadura,ADISLEX Extremadura,adislex.extremadura@gmail.com,+34661223344,Badajoz,"Apoyo educativo, sensibilización",31/07/2025,
Murcia,ADIXMUR Murcia,adixmur@adixmur.org,+34670526187,Molina de Segura,Asociación DEA: Discalculia y recursos educativos,31/07/2025,
Extremadura,AESTEX Extremadura,contacto@aestex.org,+34924222334,Mérida,"Apoyo a superdotación, asesoramiento escolar y familiar",31/07/2025,
Madrid,AFANTDAH 940,info@afantdah.org,+34685537770,"C/ Mónaco 3, Fuenlabrada, Madrid","Terapias grupales, escuela de padres",30/07/2025,
Andalucía,AFHIP Cádiz,afhip@hotmail.com,+34679704875,"C/ Tío Juanes, Jerez de la Frontera","Asociación provincial, apoyo escolar y familiar",30/07/2025,
Galicia,AGADIX Galicia,agadix@hotmail.es,+34608570211,Narón (A Coruña),Asociación DEA: apoyo a Discalculia y Dislexia,31/07/2025,
País Vasco,AHIDA Bizkaia,ahida05@gmail.com,+34944315783,"Parque J.M. Txabarri, Getxo, Bizkaia","Apoyo familiar, formación, defensa de derechos",30/07/2025,VACACIONES HASTA EL 1 SEPTIEMBRE
Castilla y León,ALENHI León,info@alenhi.org,+34987248177,"Av. Campos Góticos s/n, León",Intervención y apoyo psicopedagógico,30/07/2025,
Ceuta,Altas Capacidades Ceuta,contacto@aacceuta.org,+34650222334,Ceuta,Programas de apoyo a altas capacidades,31/07/2025,
Melilla,Altas Capacidades Melilla,info@aacmelilla.org,+34952222334,Melilla,Asociación de niños con altas capacidades y superdotación,31/07/2025,
Castilla-La Mancha,AMHIDA Ciudad Real,amhida@castillalamancha.es,+34655956611,"C/ Toledo 32, Ciudad Real","Diagnóstico, talleres, apoyo familiar",30/07/2025,
Madrid,AMPASTTA Madrid,info@ampastta.org,+34910345678,Madrid,"Asociación nacional Tourette, apoyo integral",31/07/2025,
Murcia,AMUTELHA,contacto@amutelha.es,+34968222333,Murcia,"Programa educativo TEL-TDL, convenio público",31/07/2025,
Navarra,ANAC Navarra,info@anacnavarra.org,+34948222334,Pamplona,Asociación de niños y jóvenes con altas capacidades,31/07/2025,
Castilla y León,ANACyL Castilla y León,contacto@anacyl.org,+34984222334,Valladolid,"Asociación de niños con altas capacidades, formación",31/07/2025,
Galicia,ANHIDA Vigo,anhidavigo@anhida.org,+34654735266,"C/ Anton Beiras 8, Vigo","Terapia educativa, orientación familiar",30/07/2025,
Asturias,ANHIPA,anhipa@gmail.com,+34667425279,"Av. Galicia 42, Oviedo / Hnos. Felgueroso 78, Gijón","Grupos, talleres, asesoramiento, divulgación",30/07/2025,
Madrid,ANSHDA Madrid,info@anshda.org,+34913560207,"C/ Molina de Segura 33, Madrid","Apoyo a familias, grupos de ayuda",30/07/2025,
Asturias,APADAC Asturias,info@apadacasturias.org,+34985333222,Oviedo,"Atención a altas capacidades, formación a docentes",31/07/2025,
Comunidad Valenciana,APADAHCAS Castellón,apadahcas@gmail.com,+34634504644,"C/ Dean Martí 46, Castellón","Apoyo familiar, charlas, talleres",30/07/2025,HAY UN CORREO NUEVO LO ENVIO DE NUEVO
Islas Canarias,APANATE,apanate@apanate.org,+34922398998,"C/ San Francisco Javier 9, Santa Cruz de Tenerife","Atención a personas con TEA, terapias, apoyo a familias",31/07/2025,
Castilla-La Mancha,APANDAH Albacete,apandah@gmail.com,+34687728786,"C/ Doctor Fleming 12, Albacete",Apoyo local en TDAH,30/07/2025,
Comunidad Valenciana,APNADAH Valencia,asociacion@apnadah.org,+34963382096,"C/ Assagador de les Monges 1D, Valencia","Escuela de familias, campamentos, ocio juvenil",30/07/2025,
Cantabria,APTACAN,aptacan@aptacan.org,+34942223645,"C/ Francisco Tomás y Valiente 13, Santander","Apoyo a familias TEA, orientación y servicios terapéuticos",31/07/2025,
Cataluña,APYDA Tarragona,apyda@apyda.com,+34620863402,"Av. Ramón y Cajal 39, Tarragona","Psicoterapia, talleres, apoyo familiar",30/07/2025,
La Rioja,ARPA Autismo Rioja,info@autismorioja.org,+34941234567,"Logroño, La Rioja","Apoyo a familias TEA, terapias y formación",31/07/2025,
La Rioja,ARPANIH,info@tdahrioja.es,+34608692614,"Av. de La Rioja 12, Logroño","Talleres, técnicas de estudio, apoyo familiar",30/07/2025,
Andalucía,ASA Altas Capacidades Andalucía,info@altascapacidadesandalucia.org,+34951011223,Sevilla,"Apoyo a niños con altas capacidades, orientación familiar y escolar",31/07/2025,
Galicia,ASAC Galicia,info@asacgalicia.org,+34982222334,Santiago de Compostela,"Apoyo a niños con altas capacidades, talleres",31/07/2025,
Andalucía,ASANDIS Andalucía,fedis@fedis.org,+34691018018,Málaga,"Apoyo a Discalculia y otras DEA, formación y sensibilización",31/07/2025,
Extremadura,ASHDANEX Plasencia,ashdanex@gmail.com,+34622889954,"C/ Fernando Calvo 2, Plasencia",Apoyo familiar local,30/07/2025,
Islas Baleares,Asociación Asperger Baleares,info@aspergerbaleares.org,+34670345678,"C/ Aragón 32, Palma de Mallorca","Atención a TEA nivel 1 (Asperger), orientación y terapias",31/07/2025,
Islas Canarias,Asociación BESAY (La Palma),tdahbesay@hotmail.com,+34922486562,"Av. Venezuela 1, El Paso, La Palma",Apoyo local a familias y jóvenes con TDAH,30/07/2025,
Asturias,Asociación Dislexia Asturias,dislexiasturias@gmail.com,+34622240356,Gijón,"Apoyo a familias, sensibilización, talleres",31/07/2025,
Aragón,Asociación Dislexia y Discalculia Aragón,dislexia.aragon@gmail.com,+34660871300,Huesca,"Atención a Discalculia, talleres y orientación escolar",31/07/2025,
Navarra,Asociación Navarra de Autismo (ANA),info@autismonavarra.org,+34948252963,Pamplona/Tudela,"Diagnóstico TEA, terapias, formación y escuela de verano",31/07/2025,
Islas Baleares,Asociación STILL (Mallorca),stilltdah@yahoo.es,+34971460230,"C/ Josep Anselm i Clavé 8, Palma de Mallorca",Apoyo a personas con TDAH y familias,30/07/2025,
Andalucía,Asociación TDAH Almería,web@tdah-andalucia.es,+34674862158,"C/ Fuente de los Molinos 122, Almería","Apoyo a familias, talleres, charlas",30/07/2025,
Ceuta,Asociación TDAH Ceuta,asociaciontdahceuta@gmail.com,+34650404721,"C/ Dean Navarro 6, Ceuta","Apoyo psicopedagógico, escuela de padres, talleres",30/07/2025,
Aragón,Asociación Tourette Aragón,contacto@tourettearagon.org,+34976234567,Zaragoza,Orientación familiar y terapias Tourette,31/07/2025,
Islas Baleares,Asociación Tourette Baleares,contacto@tourettebaleares.org,+34971345678,Palma de Mallorca,Apoyo a afectados por Tourette,31/07/2025,
Cantabria,Asociación Tourette Cantabria,contacto@tourettecantabria.org,+34942345678,Santander,Apoyo a familias y afectados por Tourette,31/07/2025,
Aragón,Asociación TPS Aragón,info@tpsaragon.org,+34976000000,Zaragoza,"Atención a niños con TPS, talleres de integración sensorial",31/07/2025,
Islas Baleares,Asociación TPS Baleares,contacto@tpsbaleares.org,+34971000000,Palma de Mallorca,"Apoyo a TPS, integración sensorial",31/07/2025,
Cantabria,Asociación TPS Cantabria,info@tpscantabria.org,+34942000000,Santander,Tratamientos de integración sensorial,31/07/2025,
Cataluña,Asociación TPS Cataluña,info@tpscatalunya.org,+34932000000,Barcelona,"TPS, terapia ocupacional, estimulación sensorial",31/07/2025,
Madrid,Asociación TPS Madrid,info@tpsmadrid.org,+34910000000,Madrid,"Tratamientos de TPS, integración sensorial",31/07/2025,
Madrid,ASTEA Henares,info@asteahenares.org,+34686215032,"C/ Santiago 5, Alcalá de Henares","Apoyo a familias TEA, talleres y terapias",31/07/2025,
